id,term,definition,translation,category,level,timestamp
"294,case,""случай, вариант"",case,Английские термины,High,2025-11-25 09:21:57"
295,default,по умолчанию,default,Английские термины,High,2025-11-25 09:21:57
296,define,определить,define,Английские термины,High,2025-11-25 09:21:57
297,declare,объявить,declare,Английские термины,High,2025-11-25 09:21:57
298,implement,реализовать,implement,Английские термины,High,2025-11-25 09:21:57
299,invoke,вызвать,invoke,Английские термины,High,2025-11-25 09:21:57
300,call,вызов,call,Английские термины,High,2025-11-25 09:21:57
301,pass,передать,pass,Английские термины,High,2025-11-25 09:21:57
302,return,вернуть,return,Английские термины,High,2025-11-25 09:21:57
303,yield,вернуть (генератор),yield,Английские термины,Medium,2025-11-25 09:21:57
304,callback,функция обратного вызова,callback,Английские термины,High,2025-11-25 09:21:57
305,closure,замыкание,closure,Английские термины,Medium,2025-11-25 09:21:57
306,lambda,лямбда-функция,lambda,Английские термины,Medium,2025-11-25 09:21:57
307,arrow function,стрелочная функция,arrow function,Английские термины,Medium,2025-11-25 09:21:57
308,exception,исключение,exception,Английские термины,High,2025-11-25 09:21:57
309,error,ошибка,error,Английские термины,High,2025-11-25 09:21:57
310,throw,сгенерировать исключение,throw,Английские термины,High,2025-11-25 09:21:57
311,catch,перехватить,catch,Английские термины,High,2025-11-25 09:21:57
312,handle,обработать,handle,Английские термины,High,2025-11-25 09:21:57
313,finally,блок окончания,finally,Английские термины,High,2025-11-25 09:21:57
314,raise,поднять исключение,raise,Английские термины,High,2025-11-25 09:21:57
315,stack trace,трассировка стека,stack trace,Английские термины,High,2025-11-25 09:21:57
316,memory,память,memory,Английские термины,High,2025-11-25 09:21:57
317,heap,куча,heap,Английские термины,Medium,2025-11-25 09:21:57
318,stack,стек,stack,Английские термины,Medium,2025-11-25 09:21:57
319,garbage collection,сборка мусора,garbage collection,Английские термины,Medium,2025-11-25 09:21:57
320,allocate,выделить (память),allocate,Английские термины,Medium,2025-11-25 09:21:57
321,deallocate,освободить (память),deallocate,Английские термины,Medium,2025-11-25 09:21:57
322,leak,утечка,leak,Английские термины,Medium,2025-11-25 09:21:57
323,performance,производительность,performance,Английские термины,High,2025-11-25 09:21:57
324,efficiency,эффективность,efficiency,Английские термины,High,2025-11-25 09:21:57
325,overhead,накладные расходы,overhead,Английские термины,Medium,2025-11-25 09:21:57
326,instantiate,создать экземпляр,instantiate,Английские термины,High,2025-11-25 09:21:57
327,property,свойство,property,Английские термины,High,2025-11-25 09:21:57
328,attribute,атрибут,attribute,Английские термины,High,2025-11-25 09:21:57
329,field,поле,field,Английские термины,High,2025-11-25 09:21:57
330,member,член класса,member,Английские термины,High,2025-11-25 09:21:57
331,access modifier,модификатор доступа,access modifier,Английские термины,High,2025-11-25 09:21:57
332,public,публичный,public,Английские термины,High,2025-11-25 09:21:57
333,private,приватный,private,Английские термины,High,2025-11-25 09:21:57
334,protected,защищенный,protected,Английские термины,High,2025-11-25 09:21:57
335,static,статический,static,Английские термины,High,2025-11-25 09:21:57
336,final,финальный,final,Английские термины,Medium,2025-11-25 09:21:57
337,sealed,запечатанный,sealed,Английские термины,Low,2025-11-25 09:21:57
338,override,переопределить,override,Английские термины,High,2025-11-25 09:21:57
339,overload,перегрузить,overload,Английские термины,High,2025-11-25 09:21:57
340,extends,расширяет,extends,Английские термины,High,2025-11-25 09:21:57
341,implements,реализует,implements,Английские термины,High,2025-11-25 09:21:57
342,super,родительский класс,super,Английские термины,High,2025-11-25 09:21:57
343,this,текущий объект,this,Английские термины,High,2025-11-25 09:21:57
344,self,сам объект,self,Английские термины,High,2025-11-25 09:21:57
"345,it,""это (для объектов, систем)"",it,Базовый английский,High,2025-11-25 09:21:57"
"346,they,""они (для объектов, систем)"",they,Базовый английский,High,2025-11-25 09:21:57"
347,we,мы (автор и читатель),we,Базовый английский,High,2025-11-25 09:21:57
348,you,вы (обращение к читателю),you,Базовый английский,High,2025-11-25 09:21:57
350,that,тот,that,Базовый английский,High,2025-11-25 09:21:57
351,these,эти,these,Базовый английский,High,2025-11-25 09:21:57
352,those,те,those,Базовый английский,High,2025-11-25 09:21:57
353,which,который,which,Базовый английский,High,2025-11-25 09:21:57
354,whose,чей,whose,Базовый английский,Medium,2025-11-25 09:21:57
"355,whom,""кому, кого"",whom,Базовый английский,Low,2025-11-25 09:21:57"
356,in,в (внутри),in,Базовый английский,High,2025-11-25 09:21:57
357,on,на,on,Базовый английский,High,2025-11-25 09:21:57
"358,at,""в, на (в точке)"",at,Базовый английский,High,2025-11-25 09:21:57"
"359,by,""у, рядом, с помощью"",by,Базовый английский,High,2025-11-25 09:21:57"
360,with,с,with,Базовый английский,High,2025-11-25 09:21:57
361,without,без,without,Базовый английский,High,2025-11-25 09:21:57
"362,from,""из, от"",from,Базовый английский,High,2025-11-25 09:21:57"
"363,to,""к, в (направление)"",to,Базовый английский,High,2025-11-25 09:21:57"
364,into,в (внутрь),into,Базовый английский,High,2025-11-25 09:21:57
365,onto,на (на поверхность),onto,Базовый английский,Medium,2025-11-25 09:21:57
366,between,между,between,Базовый английский,High,2025-11-25 09:21:57
367,among,среди,among,Базовый английский,Medium,2025-11-25 09:21:57
368,through,через,through,Базовый английский,Medium,2025-11-25 09:21:57
"369,across,""через, поперек"",across,Базовый английский,Medium,2025-11-25 09:21:57"
"370,behind,""за, позади"",behind,Базовый английский,Medium,2025-11-25 09:21:57"
371,above,над,above,Базовый английский,Medium,2025-11-25 09:21:57
372,below,под,below,Базовый английский,Medium,2025-11-25 09:21:57
373,under,под (непосредственно),under,Базовый английский,Medium,2025-11-25 09:21:57
"374,over,""над, по"",over,Базовый английский,Medium,2025-11-25 09:21:57"
375,before,до,before,Базовый английский,High,2025-11-25 09:21:57
376,after,после,after,Базовый английский,High,2025-11-25 09:21:57
377,during,в течение,during,Базовый английский,High,2025-11-25 09:21:57
378,while,в то время как,while,Базовый английский,High,2025-11-25 09:21:57
379,until,до (момента),until,Базовый английский,High,2025-11-25 09:21:57
380,since,с (времени),since,Базовый английский,High,2025-11-25 09:21:57
"381,about,""о, примерно"",about,Базовый английский,High,2025-11-25 09:21:57"
382,against,против,against,Базовый английский,Medium,2025-11-25 09:21:57
"383,around,""вокруг, примерно"",around,Базовый английский,Medium,2025-11-25 09:21:57"
384,beside,рядом,beside,Базовый английский,Medium,2025-11-25 09:21:57
385,beyond,за пределами,beyond,Базовый английский,Low,2025-11-25 09:21:57
386,and,и,and,Базовый английский,High,2025-11-25 09:21:57
387,or,или,or,Базовый английский,High,2025-11-25 09:21:57
388,but,но,but,Базовый английский,High,2025-11-25 09:21:57
389,because,потому что,because,Базовый английский,High,2025-11-25 09:21:57
390,if,если,if,Базовый английский,High,2025-11-25 09:21:57
391,unless,если не,unless,Базовый английский,Medium,2025-11-25 09:21:57
392,although,хотя,although,Базовый английский,Medium,2025-11-25 09:21:57
393,though,хотя,though,Базовый английский,Medium,2025-11-25 09:21:57
394,even though,даже хотя,even though,Базовый английский,Medium,2025-11-25 09:21:57
395,whether,ли,whether,Базовый английский,Medium,2025-11-25 09:21:57
396,whereas,тогда как,whereas,Базовый английский,Medium,2025-11-25 09:21:57
397,do,делать,do,Базовый английский,High,2025-11-25 09:21:57
398,make,создавать,make,Базовый английский,High,2025-11-25 09:21:57
399,create,создать,create,Базовый английский,High,2025-11-25 09:21:57
400,build,строить,build,Базовый английский,High,2025-11-25 09:21:57
401,use,использовать,use,Базовый английский,High,2025-11-25 09:21:57
402,work,работать,work,Базовый английский,High,2025-11-25 09:21:57
403,run,запускать,run,Базовый английский,High,2025-11-25 09:21:57
404,start,начать,start,Базовый английский,High,2025-11-25 09:21:57
405,stop,остановить,stop,Базовый английский,High,2025-11-25 09:21:57
406,begin,начать,begin,Базовый английский,High,2025-11-25 09:21:57
407,end,закончить,end,Базовый английский,High,2025-11-25 09:21:57
408,finish,завершить,finish,Базовый английский,High,2025-11-25 09:21:57
409,complete,завершить,complete,Базовый английский,High,2025-11-25 09:21:57
410,be,быть,be,Базовый английский,High,2025-11-25 09:21:57
411,have,иметь,have,Базовый английский,High,2025-11-25 09:21:57
412,has,имеет,has,Базовый английский,High,2025-11-25 09:21:57
413,had,имел,had,Базовый английский,High,2025-11-25 09:21:57
414,get,получать,get,Базовый английский,High,2025-11-25 09:21:57
415,become,становиться,become,Базовый английский,High,2025-11-25 09:21:57
416,seem,казаться,seem,Базовый английский,Medium,2025-11-25 09:21:57
417,appear,появляться,appear,Базовый английский,Medium,2025-11-25 09:21:57
418,look,выглядеть,look,Базовый английский,Medium,2025-11-25 09:21:57
419,give,давать,give,Базовый английский,High,2025-11-25 09:21:57
420,take,брать,take,Базовый английский,High,2025-11-25 09:21:57
421,put,помещать,put,Базовый английский,High,2025-11-25 09:21:57
422,set,устанавливать,set,Базовый английский,High,2025-11-25 09:21:57
423,let,позволять,let,Базовый английский,High,2025-11-25 09:21:57
424,allow,разрешать,allow,Базовый английский,High,2025-11-25 09:21:57
425,prevent,предотвращать,prevent,Базовый английский,Medium,2025-11-25 09:21:57
426,avoid,избегать,avoid,Базовый английский,Medium,2025-11-25 09:21:57
427,know,знать,know,Базовый английский,High,2025-11-25 09:21:57
428,understand,понимать,understand,Базовый английский,High,2025-11-25 09:21:57
429,think,думать,think,Базовый английский,High,2025-11-25 09:21:57
430,consider,рассматривать,consider,Базовый английский,High,2025-11-25 09:21:57
431,see,видеть,see,Базовый английский,High,2025-11-25 09:21:57
433,watch,наблюдать,watch,Базовый английский,Medium,2025-11-25 09:21:57
434,notice,замечать,notice,Базовый английский,Medium,2025-11-25 09:21:57
435,recognize,узнавать,recognize,Базовый английский,Medium,2025-11-25 09:21:57
436,set up,настраивать,set up,Базовый английский,High,2025-11-25 09:21:57
"437,break down,""ломаться, анализировать"",break down,Базовый английский,Medium,2025-11-25 09:21:57"
438,carry out,выполнять,carry out,Базовый английский,Medium,2025-11-25 09:21:57
439,point out,указывать,point out,Базовый английский,Medium,2025-11-25 09:21:57
440,figure out,выяснять,figure out,Базовый английский,Medium,2025-11-25 09:21:57
441,turn on,включать,turn on,Базовый английский,Medium,2025-11-25 09:21:57
442,turn off,выключать,turn off,Базовый английский,Medium,2025-11-25 09:21:57
443,look up,искать (в справочнике),look up,Базовый английский,Medium,2025-11-25 09:21:57
444,look into,исследовать,look into,Базовый английский,Medium,2025-11-25 09:21:57
445,important,важный,important,Базовый английский,High,2025-11-25 09:21:57
446,necessary,необходимый,necessary,Базовый английский,High,2025-11-25 09:21:57
447,essential,существенный,essential,Базовый английский,High,2025-11-25 09:21:57
448,crucial,ключевой,crucial,Базовый английский,High,2025-11-25 09:21:57
449,critical,критический,critical,Базовый английский,High,2025-11-25 09:21:57
450,basic,базовый,basic,Базовый английский,High,2025-11-25 09:21:57
451,simple,простой,simple,Базовый английский,High,2025-11-25 09:21:57
452,complex,сложный,complex,Базовый английский,High,2025-11-25 09:21:57
453,difficult,трудный,difficult,Базовый английский,High,2025-11-25 09:21:57
454,easy,легкий,easy,Базовый английский,High,2025-11-25 09:21:57
455,possible,возможный,possible,Базовый английский,High,2025-11-25 09:21:57
456,impossible,невозможный,impossible,Базовый английский,High,2025-11-25 09:21:57
457,available,доступный,available,Базовый английский,High,2025-11-25 09:21:57
458,unavailable,недоступный,unavailable,Базовый английский,Medium,2025-11-25 09:21:57
459,efficient,эффективный,efficient,Базовый английский,High,2025-11-25 09:21:57
460,effective,действенный,effective,Базовый английский,High,2025-11-25 09:21:57
461,reliable,надежный,reliable,Базовый английский,High,2025-11-25 09:21:57
462,stable,стабильный,stable,Базовый английский,High,2025-11-25 09:21:57
463,unstable,нестабильный,unstable,Базовый английский,Medium,2025-11-25 09:21:57
464,flexible,гибкий,flexible,Базовый английский,High,2025-11-25 09:21:57
465,rigid,жесткий,rigid,Базовый английский,Medium,2025-11-25 09:21:57
466,modular,модульный,modular,Базовый английский,Medium,2025-11-25 09:21:57
467,reusable,переиспользуемый,reusable,Базовый английский,Medium,2025-11-25 09:21:57
468,better,лучше,better,Базовый английский,High,2025-11-25 09:21:57
469,worse,хуже,worse,Базовый английский,High,2025-11-25 09:21:57
470,faster,быстрее,faster,Базовый английский,High,2025-11-25 09:21:57
471,slower,медленнее,slower,Базовый английский,High,2025-11-25 09:21:57
472,easier,легче,easier,Базовый английский,High,2025-11-25 09:21:57
"473,harder,""тяжелее, сложнее"",harder,Базовый английский,High,2025-11-25 09:21:57"
474,higher,выше,higher,Базовый английский,High,2025-11-25 09:21:57
475,lower,ниже,lower,Базовый английский,High,2025-11-25 09:21:57
476,very,очень,very,Базовый английский,High,2025-11-25 09:21:57
477,quite,довольно,quite,Базовый английский,Medium,2025-11-25 09:21:57
478,rather,скорее,rather,Базовый английский,Medium,2025-11-25 09:21:57
479,almost,почти,almost,Базовый английский,High,2025-11-25 09:21:57
480,nearly,приблизительно,nearly,Базовый английский,Medium,2025-11-25 09:21:57
481,exactly,точно,exactly,Базовый английский,High,2025-11-25 09:21:57
482,precisely,точно,precisely,Базовый английский,Medium,2025-11-25 09:21:57
483,simply,просто,simply,Базовый английский,High,2025-11-25 09:21:57
484,clearly,ясно,clearly,Базовый английский,High,2025-11-25 09:21:57
485,obviously,очевидно,obviously,Базовый английский,Medium,2025-11-25 09:21:57
486,currently,в настоящее время,currently,Базовый английский,High,2025-11-25 09:21:57
487,previously,ранее,previously,Базовый английский,High,2025-11-25 09:21:57
488,frequently,часто,frequently,Базовый английский,Medium,2025-11-25 09:21:57
489,rarely,редко,rarely,Базовый английский,Medium,2025-11-25 09:21:57
490,usually,обычно,usually,Базовый английский,High,2025-11-25 09:21:57
491,typically,типично,typically,Базовый английский,High,2025-11-25 09:21:57
492,for example,например,for example,Базовый английский,High,2025-11-25 09:21:57
493,for instance,например,for instance,Базовый английский,High,2025-11-25 09:21:57
494,such as,такие как,such as,Базовый английский,High,2025-11-25 09:21:57
495,in other words,другими словами,in other words,Базовый английский,High,2025-11-25 09:21:57
496,that is,то есть,that is,Базовый английский,High,2025-11-25 09:21:57
497,namely,а именно,namely,Базовый английский,Medium,2025-11-25 09:21:57
498,in particular,в частности,in particular,Базовый английский,Medium,2025-11-25 09:21:57
499,especially,особенно,especially,Базовый английский,High,2025-11-25 09:21:57
500,specifically,конкретно,specifically,Базовый английский,High,2025-11-25 09:21:57
501,in order to,для того чтобы,in order to,Базовый английский,High,2025-11-25 09:21:57
502,so that,так чтобы,so that,Базовый английский,High,2025-11-25 09:21:57
503,due to,из-за,due to,Базовый английский,High,2025-11-25 09:21:57
504,because of,из-за,because of,Базовый английский,High,2025-11-25 09:21:57
505,as a result,в результате,as a result,Базовый английский,High,2025-11-25 09:21:57
506,therefore,следовательно,therefore,Базовый английский,High,2025-11-25 09:21:57
507,thus,таким образом,thus,Базовый английский,High,2025-11-25 09:21:57
508,hence,отсюда,hence,Базовый английский,Medium,2025-11-25 09:21:57
509,compared to,по сравнению с,compared to,Базовый английский,High,2025-11-25 09:21:57
510,similar to,похожий на,similar to,Базовый английский,High,2025-11-25 09:21:57
511,different from,отличный от,different from,Базовый английский,High,2025-11-25 09:21:57
512,unlike,в отличие от,unlike,Базовый английский,Medium,2025-11-25 09:21:57
513,like,как,like,Базовый английский,High,2025-11-25 09:21:57
514,as,как,as,Базовый английский,High,2025-11-25 09:21:57
515,in fact,на самом деле,in fact,Базовый английский,High,2025-11-25 09:21:57
516,actually,фактически,actually,Базовый английский,High,2025-11-25 09:21:57
517,indeed,действительно,indeed,Базовый английский,Medium,2025-11-25 09:21:57
518,of course,конечно,of course,Базовый английский,High,2025-11-25 09:21:57
519,certainly,безусловно,certainly,Базовый английский,Medium,2025-11-25 09:21:57
520,firstly,во-первых,firstly,Базовый английский,High,2025-11-25 09:21:57
521,secondly,во-вторых,secondly,Базовый английский,High,2025-11-25 09:21:57
523,in conclusion,в заключение,in conclusion,Базовый английский,Medium,2025-11-25 09:21:57
524,to summarize,подводя итог,to summarize,Базовый английский,Medium,2025-11-25 09:21:57
525,in summary,вкратце,in summary,Базовый английский,Medium,2025-11-25 09:21:57
526,however,однако,however,Базовый английский,High,2025-11-25 09:21:57
528,despite,несмотря на,despite,Базовый английский,Medium,2025-11-25 09:21:57
529,in spite of,несмотря на,in spite of,Базовый английский,Medium,2025-11-25 09:21:57
530,nevertheless,тем не менее,nevertheless,Базовый английский,Medium,2025-11-25 09:21:57
531,nonetheless,все же,nonetheless,Базовый английский,Medium,2025-11-25 09:21:57
532,how,как,how,Базовый английский,High,2025-11-25 09:21:57
533,what,что,what,Базовый английский,High,2025-11-25 09:21:57
534,when,когда,when,Базовый английский,High,2025-11-25 09:21:57
535,where,где,where,Базовый английский,High,2025-11-25 09:21:57
536,why,почему,why,Базовый английский,High,2025-11-25 09:21:57
